year,month,trips,avg_fare,avg_tip,avg_distance,total_revenue,taxi_type
2024,3,5658569,24.85,1.22,4.97,140627300.0,Lyft
2024,3,15620614,25.79,1.11,4.94,402830530.0,Uber
2020,11,130881,25.3,0.43,5.7,3311908.0,Via
2020,11,8367303,17.97,0.44,4.6,150354279.0,Uber
2024,10,4882840,26.08,1.43,5.16,127350309.0,Lyft
2024,10,15143064,27.37,1.19,5.21,414408914.0,Uber
2020,11,3090548,18.45,0.72,4.45,57016008.0,Lyft
2024,8,5020832,25.36,1.21,5.15,127320072.0,Lyft
2024,12,5137220,26.47,1.43,4.63,135962316.0,Lyft
2024,9,14620503,27.74,1.16,5.24,405633018.0,Uber
2024,9,4588326,26.26,1.32,5.07,120499688.0,Lyft
2024,8,14106433,26.39,1.08,5.19,372244839.0,Uber
2024,12,15927902,28.37,1.24,5.25,451813138.0,Uber
2020,4,1143958,17.18,0.62,5.0,19655939.0,Lyft
2023,10,5810337,23.66,1.2,4.96,137478046.0,Lyft
2023,10,14371087,26.85,1.25,5.18,385898151.0,Uber
2023,3,5860032,21.3,1.04,4.94,124812771.0,Lyft
2023,3,14539318,24.27,1.06,4.93,352854485.0,Uber
2020,4,3096701,16.01,0.39,4.43,49590872.0,Uber
2020,4,65987,21.02,0.35,5.51,1386889.0,Via
2019,7,4681437,18.94,0.89,5.15,88659733.0,Lyft
2021,2,3237026,19.6,0.77,4.55,63451016.0,Lyft
2019,7,13966537,16.99,0.55,4.66,237340507.0,Uber
2021,2,8279374,18.87,0.47,4.44,156225611.0,Uber
2021,2,86014,26.86,0.52,5.55,2310620.0,Via
2019,9,13913728,18.47,0.59,4.77,256943973.0,Uber
2019,9,4610349,19.53,0.86,5.43,90045042.0,Lyft
2019,7,919726,10.64,0.18,3.71,9783396.0,Via
2019,9,866896,11.01,0.18,3.72,9540364.0,Via
2019,9,625951,16.49,0.34,4.14,10324115.0,Juno
2019,7,658007,17.11,0.36,4.35,11256378.0,Juno
2025,2,14418646,25.52,0.99,4.98,367955535.0,Uber
2022,10,14078076,24.82,1.14,5.11,349472974.0,Uber
2025,2,4919774,23.34,1.11,4.66,114850839.0,Lyft
2022,10,5202969,22.66,1.16,4.89,117918539.0,Lyft
2023,11,13787059,26.1,1.24,5.1,359886404.0,Uber
2024,2,4949666,23.48,1.17,4.81,116220234.0,Lyft
2024,7,14327766,25.74,1.09,5.16,368736434.0,Uber
2024,7,4853988,25.34,1.26,5.09,122987656.0,Lyft
2024,2,14400478,24.55,1.03,4.97,353463894.0,Uber
2023,11,5480242,23.81,1.24,5.14,130507167.0,Lyft
